first,last,season,country,brand,twist,partner,americas_player,season_num,year,age,age_group,zodiac,gender,race_ethnicity,biracial,biracial_one,biracial_two,occupation,occupation_category,lgbt,disability,hometown,state,appearance,last_placement,entrance_num,first_veto,otev,first_hoh,second_hoh,fifth_hoh,expelled,walked,jury,placement,hobbies,motto,hero,fav_tv_show,fav_movie,fav_actor,fav_actress,fav_music,fav_musician,fav_magazine,fav_sport,fav_color,three_adjectives,motivation,strength,weakness,comfort_item,outside_news,physical_or_mental,strategy,bb_fear,fav_sports_team,fav_food,fav_candy,fav_drink,fav_bb_hg,least_fav_bb_hg,dreaded_hg,handle_unexpected,fear,proudest_accomp
Memphis,Garrett,bbus10,united_states,regular,,,no,10,2008,25,twenties,sagittarius,male,white,no,,,mixologist,food,no,no,los_angeles,ca,1,,8,no,,no,no,no,no,no,finalist,2,exercising,,mom,entourage,,,,,johnny_cash,,basketball,,outgoing energetic active,,,,,,,,,,seafood,,,,,,,,
Jerry,MacDonald,bbus10,united_states,regular,,,no,10,2008,75,seventies,pisces,male,white,no,,,retired_marketing_executive,retired,no,no,magnolia,tx,1,,13,no,,yes,no,no,no,no,yes,3,,,military,big_brother,the_ten_commandments,,,rock_and_roll,elvis_presley,,golf,,touchy fair considerate,,,,,,,,,,,,,,,,,,
Keesha,Smith,bbus10,united_states,regular,,,no,10,2008,29,twenties,leo,female,white,no,,,waitress,food,no,no,burbank,ca,1,,6,no,,no,no,no,no,no,yes,4,shopping,you only live once so have some fun,parents,the_golden_girls,thelma_and_louise,,,everything,,,baseball,,,,,,,,,,,,pizza,,,,,,,,making_own_name
Renny,Martyn,bbus10,united_states,regular,,,no,10,2008,53,fifties,leo,female,white,no,,,beauty_salon_owner,management,no,no,new_orleans,la,1,,2,no,,no,no,no,no,no,yes,5,socializing,,parents,,,,,soul,,,,,vivacious witty passionate,,,,,,,,,,,,,,,,,,nfl_dancer
Bryan,Ollie,bbus10,united_states,regular,,,no,10,2008,27,twenties,libra,male,black,no,,,marketing_sales_representative,sales,no,no,bloomington,mn,1,,12,no,,no,no,no,no,no,yes,6,exercising,,dad,,,,,hip_hop,,,football,,animated energetic good_looking,,,,,,,,,,,,,,,,,,scholarship
Michelle,Costa,bbus10,united_states,regular,,,no,10,2008,28,twenties,capricorn,female,portuguese,no,,,real_estate_broker,real_estate,no,no,cumberland,ri,1,,10,no,,no,no,yes,no,no,yes,7,dancing,,,,,,,hip_hop,,,football,,crazy funny outgoing,,,,,,,,,,portuguese,,,,,,,,champion_runner
April,Dowling,bbus10,united_states,regular,,,no,10,2008,30,thirties,aries,female,white,no,,,financial_manager,finance,no,no,higley,az,1,,1,no,,no,no,no,no,no,yes,8,sports,,,,dumb_and_dumber,,,everything,madonna,cosmopolitan,football,,outgoing competitive attractive,,,,,,,,,cornhuskers,pasta,,,,,,,,college
Libra,Thompson,bbus10,united_states,regular,,,no,10,2008,31,thirties,leo,female,black,no,,,human_resources_representative,office,no,no,spring,tx,1,,7,no,,no,no,no,no,no,yes,9,shopping,,oprah,,,jude_law,,,,,volleyball,,intuitive spunky,,,,,,,,,,,,,,,,,,children
Jessie,Godderz,bbus10,united_states,regular,,,no,10,2008,22,twenties,taurus,male,white,no,,,professional_bodybuilder,exercise,no,no,rudd,ia,1,,4,yes,,no,yes,no,no,no,no,10,exercising,,dad,,,,,hip_hop,kanye_west,,baseball,,personable confrontational flirt,,,,,,,,,,pancakes,,,,,,,,champion_body_building
Angie,Swindell,bbus10,united_states,regular,,,no,10,2008,29,twenties,cancer,female,asian,no,,,pharmaceutical_sales_representative,sales,no,no,orlando,fl,1,,3,no,,no,no,no,no,no,no,11,exercising,,,,the_notebook,,,,,,football,,wild entertaining funny,,,,,,,,,gators,,,,,,,,,champion_chugger
Steven,Daigle,bbus10,united_states,regular,,,no,10,2008,35,thirties,gemini,male,white,no,,,rodeo_competitor,animals,gay,no,the_woodlands,tx,1,,11,no,,no,no,no,no,no,no,12,outdoor_activities,,chris_ledoux,heroes,,,,,,,,,spontaneous outgoing outrageous,,reading_people manipulation,,,,,,,,,,,,,,,,college
Brian,Hart,bbus10,united_states,regular,,,no,10,2008,27,twenties,leo,male,white,no,,,telecommunication_manager,management,no,no,san_francisco,ca,1,,9,no,,no,no,no,no,no,no,13,,,family,,,,,classic_rock,led_zeppelin,maxim,baseball,,,,,,,,,,,,italian,,,,,,,,
Hayden,Moss,bbus12,united_states,regular,saboteur,,no,12,2010,24,twenties,gemini,male,white,no,,,college_student,student,no,no,tempe,az,1,,12,no,no,yes,no,no,no,no,finalist,1,outdoor_activities,hang loose,,,,,,,,,,,outgoing athletic charming,,,,,,,,,,,,,,,messy,hard_without_allies,flying,college_sports
Lane,Elenburg,bbus12,united_states,regular,saboteur,,no,12,2010,24,twenties,libra,male,white,no,,,oil_rig_salesman,sales,no,no,decatur,tx,1,,8,no,no,no,no,no,no,no,finalist,2,exercising,be successful at everything you attempt,,,,,,,,,,,funny outgoing athletic,,,,,,,not_revealing,sharing_bathroom,,,,,memphis,,annoying,already_living_unexpected,electric_fences,college_sports
